id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1950595134896189770,"No Brasil, a lei é para todos. Os Três Poderes são independentes. Nosso país é soberano e guiado pela Constituição.

Entrevista ao @nytimes.
🎥 @ricardostuckert https://t.co/FZ6AheAq8U",https://x.com/LulaOficial/status/1950595134896189770,tweet,Lula,@LulaOficial,3218,247,3406,22013,944674,424,2025-07-30 13:31:35,https://pbs.twimg.com/amplify_video_thumb/1950594097145688068/img/xlzFTK6YFkLmOvuD.jpg,https://video.twimg.com/amplify_video/1950594097145688068/vid/avc1/1080x1920/GudtvqDed1ThB3vX.mp4?tag=21
1950589361025638419,"Lamento profundamente a trágica perda dos dois servidores do IBGE durante o combate ao incêndio florestal no Distrito Federal. Minha solidariedade e meu abraço às famílias, aos colegas de trabalho e a todos que se dedicam diariamente à proteção do meio ambiente. Esses trabalhadores estavam cumprindo sua missão com coragem e comprometimento, defendendo o nosso país, a nossa biodiversidade e o nosso povo.

Desde o início do nosso governo, temos atuado em diversas frentes contra os incêndios florestais e os efeitos da emergência climática. A sanção da Política Nacional de Manejo Integrado do Fogo, há um ano, por exemplo, trouxe importantes avanços, com mais brigadistas, mais equipamentos, apoio aos estados e ações coordenadas de prevenção e resposta. Hoje o Brasil está mais preparado para enfrentar os incêndios.

Mas sabemos que ainda há muito a fazer. Vamos seguir investindo, com seriedade e responsabilidade, para proteger vidas humanas, as florestas brasileiras e o futuro das próximas gerações.",https://x.com/LulaOficial/status/1950589361025638419,tweet,Lula,@LulaOficial,327,16,1268,17225,308931,64,2025-07-30 13:08:38,,
1950335027998273806,"O Brasil saiu do Mapa da Fome. De novo.

Essa é uma história de luta, coragem e compromisso com o povo.

Em nossos mandatos, o Brasil construiu um caminho de combate à fome com políticas públicas, programas sociais e reconhecimento internacional. Saiu do Mapa da Fome em 2014. Com o desmonte de políticas públicas e retrocessos, voltou ao Mapa da Fome em 2021. E agora, com trabalho sério e foco em quem mais precisa, saiu do Mapa da Fome, de novo.

Porque dignidade é comida no prato. E a nossa missão ainda é a mesma: garantir que todo brasileiro possa tomar café, almoçar e jantar todos os dias.

🎥 Audiovisual/PR",https://x.com/LulaOficial/status/1950335027998273806,tweet,Lula,@LulaOficial,1277,114,2147,16263,876272,164,2025-07-29 20:18:00,https://pbs.twimg.com/amplify_video_thumb/1950330224995946496/img/DJSH2JqGrZH67d_h.jpg,https://video.twimg.com/amplify_video/1950330224995946496/vid/avc1/1080x1350/OgbBGw-fY5VLFDNS.mp4?tag=21
1950304147984859644,"A Aliança Global contra a Fome e a Pobreza foi citada como um exemplo de liderança no combate à insegurança alimentar durante a abertura da 2ª Cúpula da ONU sobre Sistemas Alimentares, nesta segunda (28).

O secretário-geral da ONU, António Guterres, admitiu os progressos na luta contra a fome, defendeu a união de esforços e saudou iniciativas como a Aliança Global contra a Fome e a Pobreza. 

Como disse o secretário, nenhum governo consegue fazer isso sozinho. E é este o objetivo da Aliança: Unir forças e experiências de diversas nações para combater a fome e a desigualdade.

🔗: https://t.co/5q5uLejDmX",https://x.com/LulaOficial/status/1950304147984859644,tweet,Lula,@LulaOficial,632,37,1077,5721,115526,34,2025-07-29 18:15:18,https://pbs.twimg.com/media/GxDe6KwWMAAzYDp.jpg,
1949995003104661763,"Brasil fora do Mapa da Fome. Uma conquista histórica, que compartilhamos com cada brasileiro e brasileira que acredita em um país melhor 🇧🇷 https://t.co/7L6eNT77N0",https://x.com/LulaOficial/status/1949995003104661763,tweet,Lula,@LulaOficial,1223,210,3030,19028,1231344,201,2025-07-28 21:46:52,https://pbs.twimg.com/amplify_video_thumb/1949994125354205184/img/emnS7oFRJ9V-28so.jpg,https://video.twimg.com/amplify_video/1949994125354205184/vid/avc1/1920x1080/EbCFrluVkiVOYcPl.mp4?tag=21
1949972081950519793,"Sancionei hoje a lei que cria o Programa Acredita Exportação.

Com essa medida, Micro e Pequenas Empresas que exportam passam a ter direito à devolução de tributos pagos ao longo da cadeia produtiva. A partir de 1º de agosto, essas empresas poderão recuperar até 3% da receita com vendas externas, por compensação ou ressarcimento direto.

Estamos corrigindo uma distorção que penalizava os pequenos exportadores, antecipando efeitos da reforma tributária e ampliando a competitividade das nossas Micro e Pequenas Empresas no mercado internacional.

🎥 Audiovisual/PR",https://x.com/LulaOficial/status/1949972081950519793,tweet,Lula,@LulaOficial,671,39,1226,6677,115011,69,2025-07-28 20:15:47,https://pbs.twimg.com/amplify_video_thumb/1949971471192727552/img/u0eY9MJGGMEvnKaM.jpg,https://video.twimg.com/amplify_video/1949971471192727552/vid/avc1/1080x1920/UzGA0AmR7FwQdALv.mp4?tag=21
1949920702762549519,🎥 @ricardostuckert,https://x.com/LulaOficial/status/1949920702762549519,tweet,Lula,@LulaOficial,51,1,42,413,40934,7,2025-07-28 16:51:37,,
1949920179460169886,"O Brasil está, mais uma vez, fora do Mapa da Fome.

Foi isso que ouvi do Diretor-Geral da FAO, Qu Dongyu (@FAODG), com quem tive o prazer de conversar na tarde de hoje. O dado foi divulgado no relatório anual da FAO sobre Segurança Alimentar e Nutricional no Mundo em 2025.

Eu tenho como profissão de fé a luta contra a fome e a desigualdade. Hoje, dormirei com a consciência tranquila de que estou cumprindo meu dever com o povo brasileiro.",https://x.com/LulaOficial/status/1949920179460169886,tweet,Lula,@LulaOficial,1020,144,1877,11015,188402,109,2025-07-28 16:49:33,https://pbs.twimg.com/amplify_video_thumb/1949915967997284352/img/rzMsxUuByFQPtRN1.jpg,https://video.twimg.com/amplify_video/1949915967997284352/vid/avc1/720x1280/iMC6zHYJoMzQyKbw.mp4?tag=21
1949917918982201675,Presidente Lula sanciona e regulamenta o PL Acredita Exportação https://t.co/rbTegNB0ZR,https://x.com/LulaOficial/status/1949917918982201675,tweet,Lula,@LulaOficial,238,11,569,2543,61880,18,2025-07-28 16:40:34,,
1949901244836806715,"Inauguramos hoje, no Rio de Janeiro, a UTE GNA II, a maior usina termelétrica a gás natural da América Latina. Projeto estratégico do Novo PAC, esta usina tem capacidade para atender 8 milhões de residências. 

A usina gera energia com menos emissões, e foi projetada para operar com até 50% de hidrogênio em substituição ao gás natural, representando um passo importante rumo à transição energética.

📷 @ricardostuckert",https://x.com/LulaOficial/status/1949901244836806715,tweet,Lula,@LulaOficial,288,24,699,3894,69863,21,2025-07-28 15:34:18,"https://pbs.twimg.com/media/Gw9weEJW0AA4cor.jpg,https://pbs.twimg.com/media/Gw9whunXEAAmTjE.jpg,https://pbs.twimg.com/media/Gw9wjO8WcAAZT8O.jpg,https://pbs.twimg.com/media/Gw9wkb1XoAA_PEK.jpg",
1949858053194453191,"Minhas amigas e meus amigos. É com grande orgulho e imensa alegria que informo: O Brasil está fora do mapa da fome, mais uma vez.

O anúncio foi feito hoje (28) pela FAO/ONU. Isso significa que reduzimos a insegurança alimentar grave e a subnutrição para menos de 2,5% da população. Uma conquista histórica que mostra que com políticas públicas sérias e compromisso com o povo, é possível combater a fome e construir um país mais justo e solidário.",https://x.com/LulaOficial/status/1949858053194453191,tweet,Lula,@LulaOficial,3737,1763,14917,90886,2443403,758,2025-07-28 12:42:41,https://pbs.twimg.com/media/Gw9JfP8W8AAF1dU.jpg,
1949835964739944499,Presidente Lula participa da cerimônia da inauguração de usina a gás natural no Rio de Janeiro https://t.co/2XtaZFlyFC,https://x.com/LulaOficial/status/1949835964739944499,tweet,Lula,@LulaOficial,361,40,763,3586,70546,17,2025-07-28 11:14:54,,
1949821958935195754,"Bom dia. Sigo para o Rio de Janeiro, onde logo mais iremos inaugurar a maior usina a gás natural do país, no Porto do Açú. Obra do Novo PAC, essa usina contou com investimento de R$ 7 bilhões e gerou 10 mil empregos. Ela tem capacidade de fornecer energia a 8 milhões de residências.

À tarde, estaremos de volta ao Palácio do Planalto para sancionar o Acredita Exportação, um programa de iniciativa do Governo Federal que estabelece a devolução de tributos pagos por micro e pequenas empresas exportadoras. 

Desejo uma boa semana a todos.",https://x.com/LulaOficial/status/1949821958935195754,tweet,Lula,@LulaOficial,643,56,1207,6673,122106,37,2025-07-28 10:19:15,https://pbs.twimg.com/media/Gw8oSboWQAAcLCW.jpg,
1949446138056098131,"Política de segurança alimentar e combate à desigualdade, o Bolsa Família tem garantido as condições para que milhões de famílias conquistem sua autonomia e prosperem. Só em julho  deste ano quase um milhão delas deixou o programa devido ao aumento de renda.

Em 2024, 75% dos empregos de carteira assinada criados no Brasil foram ocupados por beneficiários do Bolsa Família. É por um Brasil com oportunidades para todos que seguimos trabalhando todos os dias.",https://x.com/LulaOficial/status/1949446138056098131,tweet,Lula,@LulaOficial,940,30,1152,5680,94938,36,2025-07-27 09:25:52,https://pbs.twimg.com/amplify_video_thumb/1949439385629343744/img/9bcTdsB2JQVO6sgE.jpg,https://video.twimg.com/amplify_video/1949439385629343744/vid/avc1/1920x1080/BE_zAd-JvgAxGPXe.mp4?tag=21
